ppt_number,ppt_gender,condition,round_number,binary_classification,chris_prob,ppt_contrib,chris_contrib,ppt_RT,prediction_report,prediction_RT,chris_behavior,turing_test,ppt_payment,start_strategy,p1_choice,p2_choice
1,female,low_vol,1,FALSE,0.35,20,20,3743,0.09,6695,neither,human,1.76,0,1,1
1,female,low_vol,2,FALSE,0.35,20,0,1600.005,0.09,6695,neither,human,1.76,0,1,0
1,female,low_vol,3,FALSE,0.35,0,0,1653,0.09,6695,neither,human,1.76,0,0,0
1,female,low_vol,4,FALSE,0.35,0,20,1711.005,0.09,6695,neither,human,1.76,0,0,1
1,female,low_vol,5,FALSE,0.35,20,0,1631,0.09,6695,neither,human,1.76,0,1,0
1,female,low_vol,6,FALSE,0.35,0,20,1335,0.09,6695,neither,human,1.76,0,0,1
1,female,low_vol,7,FALSE,0.35,0,20,1592,0.09,6695,neither,human,1.76,0,0,1
1,female,low_vol,8,FALSE,0.35,0,20,1464,0.09,6695,neither,human,1.76,0,0,1
1,female,low_vol,9,FALSE,0.35,0,0,1345,0.09,6695,neither,human,1.76,0,0,0
1,female,low_vol,10,FALSE,0.35,0,0,1327.995,0.09,6695,neither,human,1.76,0,0,0
1,female,low_vol,11,FALSE,0.35,20,0,2016,0.2,2544,neither,human,1.76,0,1,0
1,female,low_vol,12,FALSE,0.35,0,0,1415,0.2,2544,neither,human,1.76,0,0,0
1,female,low_vol,13,FALSE,0.35,0,0,1616.005,0.2,2544,neither,human,1.76,0,0,0
1,female,low_vol,14,FALSE,0.35,0,0,2055,0.2,2544,neither,human,1.76,0,0,0
1,female,low_vol,15,FALSE,0.35,0,0,1545.005,0.2,2544,neither,human,1.76,0,0,0
1,female,low_vol,16,FALSE,0.35,0,0,2375,0.2,2544,neither,human,1.76,0,0,0
1,female,low_vol,17,FALSE,0.35,0,20,1392,0.2,2544,neither,human,1.76,0,0,1
1,female,low_vol,18,FALSE,0.35,20,20,1593,0.2,2544,neither,human,1.76,0,1,1
1,female,low_vol,19,FALSE,0.35,20,20,1192,0.2,2544,neither,human,1.76,0,1,1
1,female,low_vol,20,FALSE,0.35,20,0,1401,0.2,2544,neither,human,1.76,0,1,0
1,female,low_vol,21,FALSE,0.35,20,20,1494.995,0.04,2486.995,neither,human,1.76,0,1,1
1,female,low_vol,22,FALSE,0.35,20,0,1825,0.04,2486.995,neither,human,1.76,0,1,0
1,female,low_vol,23,FALSE,0.35,0,0,1354,0.04,2486.995,neither,human,1.76,0,0,0
1,female,low_vol,24,FALSE,0.35,0,20,2344.995,0.04,2486.995,neither,human,1.76,0,0,1
1,female,low_vol,25,FALSE,0.35,0,0,1895.005,0.04,2486.995,neither,human,1.76,0,0,0
1,female,low_vol,26,FALSE,0.35,0,0,2065,0.04,2486.995,neither,human,1.76,0,0,0
1,female,low_vol,27,FALSE,0.35,0,20,1959.005,0.04,2486.995,neither,human,1.76,0,0,1
